ALT TEMP PRESS  [H]  [H2]  [He]  [CH4]  [C2H2]  [C2H4]  [C2H6]  [CH3C2H] [C3H8]  [C4H2]  [C4H10]
2132.3 939.9 1.678e-07 9.314e+05 3.615e+05 4.847e-03 2.262e-44 4.579e-75 1.437e-81 3.543e-88 2.561e-116 1.134e-130 0.000e+00 0.000e+00
2191.1 939.9 1.323e-07 7.718e+05 2.480e+05 2.298e-03 1.137e-45 3.570e-77 7.701e-84 1.303e-90 1.463e-119 3.050e-134 0.000e+00 0.000e+00
2250.0 939.9 1.051e-07 6.398e+05 1.703e+05 1.091e-03 5.747e-47 2.805e-79 4.163e-86 4.837e-93 8.462e-123 8.316e-138 0.000e+00 0.000e+00
2308.8 939.9 8.403e-08 5.305e+05 1.170e+05 5.187e-04 2.918e-48 2.222e-81 2.270e-88 1.812e-95 4.954e-126 2.298e-141 0.000e+00 0.000e+00
2367.7 940.0 6.755e-08 4.401e+05 8.045e+04 2.468e-04 1.489e-49 1.774e-83 1.248e-90 6.852e-98 2.936e-129 6.439e-145 0.000e+00 0.000e+00
2426.5 940.0 5.457e-08 3.651e+05 5.534e+04 1.176e-04 7.638e-51 1.428e-85 6.925e-93 2.615e-100 1.762e-132 1.828e-148 0.000e+00 0.000e+00
2485.4 940.0 4.427e-08 3.030e+05 3.810e+04 5.611e-05 3.937e-52 1.159e-87 3.875e-95 1.007e-102 1.070e-135 5.263e-152 0.000e+00 0.000e+00
2544.2 940.0 3.606e-08 2.516e+05 2.624e+04 2.680e-05 2.039e-53 9.477e-90 2.187e-97 3.915e-105 6.582e-139 1.536e-155 0.000e+00 0.000e+00
2603.1 940.0 2.946e-08 2.090e+05 1.808e+04 1.282e-05 1.061e-54 7.813e-92 1.245e-99 1.536e-107 4.098e-142 4.541e-159 0.000e+00 0.000e+00
2661.9 940.0 2.415e-08 1.736e+05 1.247e+04 6.138e-06 5.550e-56 6.493e-94 7.148e-102 6.082e-110 2.583e-145 1.361e-162 0.000e+00 0.000e+00
2720.8 940.0 1.984e-08 1.443e+05 8.606e+03 2.943e-06 2.917e-57 5.439e-96 4.139e-104 2.430e-112 1.648e-148 4.136e-166 0.000e+00 0.000e+00
2779.6 940.0 1.633e-08 1.199e+05 5.943e+03 1.413e-06 1.541e-58 4.592e-98 2.418e-106 9.801e-115 1.064e-151 1.273e-169 0.000e+00 0.000e+00
2838.5 940.0 1.347e-08 9.971e+04 4.106e+03 6.789e-07 8.178e-60 3.908e-100 1.424e-108 3.989e-117 6.958e-155 3.974e-173 0.000e+00 0.000e+00
2897.4 940.0 1.113e-08 8.293e+04 2.838e+03 3.267e-07 4.362e-61 3.352e-102 8.461e-111 1.638e-119 4.605e-158 1.257e-176 0.000e+00 0.000e+00
2956.2 940.0 9.210e-09 6.900e+04 1.964e+03 1.574e-07 2.338e-62 2.898e-104 5.069e-113 6.791e-122 3.085e-161 4.029e-180 0.000e+00 0.000e+00
3015.1 940.0 7.629e-09 5.743e+04 1.359e+03 7.591e-08 1.259e-63 2.526e-106 3.063e-115 2.840e-124 2.091e-164 1.309e-183 0.000e+00 0.000e+00
3073.9 940.0 6.327e-09 4.781e+04 9.413e+02 3.666e-08 6.813e-65 2.218e-108 1.867e-117 1.199e-126 1.435e-167 4.309e-187 0.000e+00 0.000e+00
3132.8 940.0 5.252e-09 3.982e+04 6.523e+02 1.773e-08 3.705e-66 1.964e-110 1.147e-119 5.106e-129 9.969e-171 1.437e-190 0.000e+00 0.000e+00
3191.6 940.0 4.363e-09 3.317e+04 4.524e+02 8.581e-09 2.024e-67 1.752e-112 7.110e-122 2.194e-131 7.008e-174 4.859e-194 0.000e+00 0.000e+00
3250.5 940.0 3.628e-09 2.764e+04 3.139e+02 4.159e-09 1.111e-68 1.575e-114 4.444e-124 9.516e-134 4.986e-177 1.664e-197 0.000e+00 0.000e+00
3309.3 940.0 3.018e-09 2.304e+04 2.179e+02 2.018e-09 6.132e-70 1.427e-116 2.801e-126 4.164e-136 3.590e-180 5.776e-201 0.000e+00 0.000e+00
3368.2 940.0 2.512e-09 1.921e+04 1.514e+02 9.805e-10 3.399e-71 1.303e-118 1.780e-128 1.838e-138 2.616e-183 2.031e-204 0.000e+00 0.000e+00
3427.1 940.0 2.093e-09 1.602e+04 1.052e+02 4.769e-10 1.893e-72 1.199e-120 1.141e-130 8.189e-141 1.929e-186 7.236e-208 0.000e+00 0.000e+00
3485.9 940.0 1.744e-09 1.337e+04 7.319e+01 2.322e-10 1.059e-73 1.112e-122 7.371e-133 3.681e-143 1.439e-189 2.612e-211 0.000e+00 0.000e+00
3544.8 940.0 1.454e-09 1.115e+04 5.094e+01 1.132e-10 5.956e-75 1.039e-124 4.803e-135 1.669e-145 1.087e-192 9.552e-215 0.000e+00 0.000e+00
3603.6 940.0 1.213e-09 9.311e+03 3.547e+01 5.528e-11 3.365e-76 9.790e-127 3.155e-137 7.636e-148 8.302e-196 3.539e-218 0.000e+00 0.000e+00
3662.5 940.0 1.012e-09 7.775e+03 2.471e+01 2.701e-11 1.910e-77 9.291e-129 2.090e-139 3.524e-150 6.418e-199 1.328e-221 0.000e+00 0.000e+00
